ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,-0.152736848,1.46425980228,0.332389,0.252215448459,4.00571,4.15191,4.63718,5.68997,8.07297,11.8553,15.7354,23.6586,48.3954,200.0,87.3315,44.9166,30.3888,23.0948,15.8678,11.2563,9.20774,8.26667,7.99441
1.0,0.0,-0.145945137636,1.56317183134,0.332165,0.290491321005,4.00706,4.15406,4.64054,5.69572,8.08513,11.8814,15.7807,23.7589,48.8042,200.0,86.6868,44.7438,30.3094,23.0492,15.847,11.2469,9.20269,8.26383,7.99309
1.0,0.0,-0.147155018,1.68127792626,0.331961,0.327074103266,4.0083,4.15605,4.64369,5.70113,8.09665,11.9062,15.824,23.8552,49.2004,200.0,86.0801,44.5802,30.2342,23.0059,15.8273,11.2381,9.19793,8.26119,7.9919
1.0,0.0,-0.14850085,1.75812051554,0.331758,0.364366780235,4.00953,4.15806,4.64687,5.70663,8.10838,11.9316,15.8683,23.9539,49.6104,200.0,85.4704,44.4148,30.158,22.9621,15.8073,11.2292,9.19312,8.25852,7.99071
1.0,0.0,-0.14974587,1.87663106827,0.331555,0.405457594429,4.01077,4.16015,4.65024,5.71252,8.12109,11.9592,15.9168,24.0629,50.0684,200.0,84.8096,44.2346,30.0749,22.9143,15.7856,11.2195,9.18797,8.25571,7.98953
1.0,0.0,-0.150889674,1.95592507573,0.331351,0.447121366417,4.01202,4.16225,4.65364,5.71847,8.13398,11.9874,15.9663,24.1742,50.5409,200.0,84.15,44.0534,29.9911,22.8661,15.7636,11.2098,9.18278,8.25289,7.98835
1.0,0.0,-0.152233066,2.07445263922,0.331148,0.493348174286,4.01326,4.16444,4.65727,5.72491,8.14805,12.0183,16.0209,24.298,51.0738,200.0,83.4312,43.8548,29.8993,22.8132,15.7396,11.1991,9.17718,8.2499,7.98718
1.0,0.0,-0.149359082,2.14947136682,0.330904,0.540285449821,4.01476,4.16691,4.66122,5.73178,8.16284,12.0506,16.0777,24.4264,51.6291,200.0,82.7114,43.6536,29.8057,22.7592,15.7149,11.1881,9.17125,8.24665,7.98578
1.0,0.0,-0.144359074,2.27482339824,0.330598,0.589161041577,4.01662,4.1698,4.6657,5.73938,8.17892,12.0853,16.1384,24.5633,52.2238,200.0,81.9716,43.4445,29.7078,22.7023,15.6886,11.1762,9.16473,8.24294,7.98401
1.0,0.0,-0.145658246,2.35318847745,0.330293,0.641288741778,4.01849,4.17276,4.67034,5.74734,8.19588,12.1221,16.2031,24.7102,52.8713,200.0,81.1979,43.2242,29.6044,22.6423,15.6609,11.1637,9.15794,8.23913,7.98226
1.0,0.0,-0.146856198,2.47546009173,0.329988,0.693473737759,4.02037,4.17573,4.67499,5.75532,8.21291,12.1591,16.2684,24.8588,53.5351,200.0,80.4377,43.0058,29.5017,22.5825,15.6333,11.1512,9.15115,8.23532,7.98051
1.0,0.0,-0.14805293,2.5564874579,0.329683,0.750821083473,4.02225,4.17881,4.6799,5.76385,8.23134,12.1995,16.3399,25.023,54.2809,200.0,79.6199,42.7693,29.3902,22.5176,15.6034,11.1377,9.14392,8.23134,7.97878
1.0,0.0,-0.148244402,2.67870320298,0.329368,0.808792953185,4.0242,4.18197,4.68492,5.77256,8.25012,12.2407,16.413,25.1913,55.0563,200.0,78.8093,42.5325,29.2782,22.4524,15.5732,11.1241,9.13658,8.22728,7.977
1.0,0.0,-0.140197446,2.75864824057,0.328961,0.87217927406,4.0267,4.18582,4.69086,5.78265,8.27151,12.2872,16.4952,25.3801,55.9341,200.0,77.9377,42.2745,29.1554,22.3803,15.5396,11.1088,9.12815,8.22246,7.97469
1.0,0.0,-0.141348862,2.86977712923,0.328554,0.931847098845,4.02921,4.1896,4.69663,5.79238,8.29202,12.3317,16.5737,25.5612,56.7875,200.0,77.1328,42.0337,29.0401,22.3126,15.5079,11.0942,9.12006,8.2178,7.97238
1.0,0.0,-0.14249865,2.9881663859,0.328147,0.99621317755,4.03173,4.19349,4.70265,5.80263,8.31386,12.3794,16.6585,25.758,57.7339,200.0,76.2844,41.7779,28.9174,22.2404,15.4741,11.0788,9.11159,8.21297,7.97009
1.0,0.0,-0.14364681,3.09222000067,0.32774,1.06173090142,4.03425,4.19741,4.70873,5.81303,8.33609,12.4282,16.7454,25.961,58.7283,200.0,75.4399,41.5208,28.7937,22.1676,15.44,11.0632,9.10303,8.20812,7.96781
